Région,Département,NB_VP_RECHARGEABLES_EL,Nombre de bornes,population,IAB,IPA
Auvergne-Rhône-Alpes,Ain,10527,819,657417,0.7779994300370475,0.012457846389734368
Auvergne-Rhône-Alpes,Allier,3098,866,335628,2.7953518398967074,0.025802376440583027
Auvergne-Rhône-Alpes,Ardèche,5401,723,329325,1.3386409924088132,0.02195399681166021
Auvergne-Rhône-Alpes,Cantal,1616,254,144379,1.5717821782178218,0.017592586179430526
Auvergne-Rhône-Alpes,Drôme,12730,1632,517709,1.2820109976433622,0.03152350065384222
Auvergne-Rhône-Alpes,Haute-Loire,3225,406,227489,1.2589147286821705,0.017847016778833262
Auvergne-Rhône-Alpes,Haute-Savoie,26597,2172,835206,0.8166334549009288,0.02600556030488287
Auvergne-Rhône-Alpes,Isère,27453,2616,1277513,0.9529013222598622,0.020477286728197677
Auvergne-Rhône-Alpes,Loire,14121,1608,768508,1.138729551731464,0.020923659870814623
Auvergne-Rhône-Alpes,Puy-de-Dôme,8244,1475,661852,1.7891800097040271,0.022285949124577698
Auvergne-Rhône-Alpes,Rhône,53536,2250,2405665,0.42027794381350864,0.009352923204186785
Auvergne-Rhône-Alpes,Savoie,10334,1433,439750,1.386684730017418,0.03258669698692438
Bourgogne-Franche-Comté,Côte-d'Or,8412,1313,535078,1.5608654303376128,0.02453847850219968
Bourgogne-Franche-Comté,Doubs,5654,883,545209,1.561726211531659,0.016195624063432553
Bourgogne-Franche-Comté,Haute-Saône,1745,204,234601,1.169054441260745,0.008695615108204996
Bourgogne-Franche-Comté,Jura,2688,274,258798,1.0193452380952381,0.01058740793978315
Bourgogne-Franche-Comté,Nièvre,1942,342,202670,1.761071060762101,0.016874722455222778
Bourgogne-Franche-Comté,Saône-et-Loire,5584,954,550936,1.7084527220630372,0.01731598588583792
Bourgogne-Franche-Comté,Territoire de Belfort,1923,327,140120,1.7004680187207488,0.02333713959463317
Bourgogne-Franche-Comté,Yonne,4244,1136,334156,2.676720075400566,0.03399609763104658
Bretagne,Côtes-d'Armor,11272,1089,603640,0.96611071682044,0.01804055397256643
Bretagne,Finistère,18973,1537,917179,0.8100985611131608,0.016757906580940035
Bretagne,Ille-et-Vilaine,17954,4794,1088855,2.670157068062827,0.04402790086834335
Bretagne,Morbihan,16115,1317,764161,0.8172510083772883,0.017234587999125837
Centre-Val de Loire,Cher,3106,566,300933,1.822279459111397,0.018808173247865802
Centre-Val de Loire,Eure-et-Loir,6192,704,431443,1.1369509043927648,0.01631733508250221
